"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"85","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","1.87%","1557","21,69,392"
"101","KFin Technologies Ltd","KFINTECH","P&F | F.A","1.86%","1299.3","5,74,065"
"156","Varun Beverages Limited","VBL","P&F | F.A","1.86%","469.8","52,62,734"
"79","Apl Apollo Tubes Limited","APLAPOLLO","P&F | F.A","1.83%","1723.5","5,23,460"
"26","LTI Mindtree Ltd","LTIM","P&F | F.A","1.79%","5250.5","1,52,240"
"40","Srf Limited","SRF","P&F | F.A","1.71%","3223.6","3,50,104"
"134","Marico Limited","MARICO","P&F | F.A","1.68%","740.2","12,67,255"
"136","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","1.68%","691.25","3,70,386"
"214","Nbcc (india) Limited","NBCC","P&F | F.A","1.65%","114.9","1,32,08,032"
"63","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","1.64%","2036.5","8,88,117"
"71","PB Fintech Ltd","POLICYBZR","P&F | F.A","1.59%","1860.4","5,13,333"
"151","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","1.59%","553.4","12,41,969"
"194","Ncc Limited","NCC","P&F | F.A","1.55%","228.79","32,03,230"
